Store,Address,City,State,Zip,Type,Total Sales,%Sales Dry Grocery,%Sales FrozenFood,%Sales Dairy,%Sales Meat,%Sales Produce,%Sales Floral,%Sales Deli,%Sales Bakery,%Sales General_Merchandise
S0060,351 W Felicita Ave,Escondido,CA,92025,Existing,34886833.64,0.449699938432131,8.23474339816871e-002,0.101905171064989,0.114625223408495,0.100789221408974,1.05073691634688e-002,4.16234145805386e-002,2.58691995184462e-002,7.26330284412708e-002
S0061,57590 29 Palms Hys,Yucca Valley,CA,92284,Existing,42022570.72,0.460529927808281,7.36530582724902e-002,0.106175563121284,0.117167008720308,0.1030184504619,5.8272762899642e-003,4.93621826189885e-002,2.9587267001927e-002,5.46792657048565e-002
S0062,11800 De Palma Rd,Corona,CA,92883,Existing,26064799.99,0.469906881107819,7.97719453361514e-002,9.8877658412448e-002,9.37253238443131e-002,0.110606737481433,5.79967043898271e-003,4.07674741570116e-002,2.14805262351833e-002,7.90637829866577e-002
S0063,4520 W Sunset Blvd,Los Angeles,CA,90028,Existing,20844141.93,0.418792380099669,8.49979738168094e-002,0.113887245057729,0.105673383313026,0.135424193976403,9.29907024481674e-003,2.99335161934392e-002,2.91314822188029e-002,7.28607550793049e-002
S0064,9119 Reseda Blvd,Northridge,CA,91324,Existing,22854243.72,0.436474623803478,7.13348365394958e-002,0.107324741525072,0.114659174554388,0.122795979354332,9.57445158460924e-003,3.96620873175846e-002,4.38171055786745e-002,5.43569997423656e-002
S0065,2340 Foothill Blvd,La Verne,CA,91750,Existing,34670181.19,0.419621852861738,7.33014741420796e-002,0.106998379664367,0.112588674936775,0.122427970212751,1.15740419065286e-002,3.86386114528408e-002,3.0976331335406e-002,8.38726634875138e-002
S0066,522 Orange St,Redlands,CA,92374,Existing,35306667.57,0.451210238361218,8.29723446482717e-002,9.95132362190249e-002,0.105707638439693,8.55888280594248e-002,8.63066074972535e-003,3.99482323615964e-002,2.52303967298492e-002,0.101198424431196
S0067,660 E Los Angeles Ave,Simi Valley,CA,93065,Existing,28697527.75,0.460265496912012,8.09561788819944e-002,9.93178940300878e-002,0.122564250852584,0.101988079443533,5.98896990351372e-003,4.34799171855492e-002,2.45153598640566e-002,6.09238529266689e-002
S0068,1011 N San Fernando Blvd,Burbank,CA,91504,Existing,38824343.52,0.440858632965238,7.58071349869408e-002,0.100076398149488,0.102962228786708,0.122994773306086,9.38551297879098e-003,4.59183421628658e-002,3.60828030299686e-002,6.59141736339139e-002
S0069,1440 W 25th St,San Pedro,CA,90732,Existing,24609296.52,0.413318937082725,7.76097150297574e-002,0.106079581668595,0.112313559136228,0.133252019509577,7.91302139993069e-003,4.15809399170911e-002,3.71479680151378e-002,7.07842582409584e-002
